304930,Free to Play,Survival,Zombies,Multiplayer,Open World,Adventure,Crafting,Action,First-Person,Co-op,Sandbox,Shooter,Post-apocalyptic,FPS,Singleplayer,Massively Multiplayer,Indie,Atmospheric,Casual,Early Access
476620,World War II,FPS,Multiplayer,War,Zombies,Action,Shooter,First-Person,Singleplayer,Co-op,Violent,Gore,Historical,Story Rich,Psychological Horror,Horror,Massively Multiplayer,Female Protagonist,Open World,Heist
10,Action,FPS,Multiplayer,Shooter,Classic,Team-Based,First-Person,Competitive,Tactical,1990's,e-sports,PvP,Military,Strategy,Score Attack,Survival,Old School,Assassin,1980s,Violent
504370,PvP,Multiplayer,Competitive,Action,MOBA,Arena Shooter,Fast-Paced,Team-Based,Fighting,Free to Play,Top-Down,Early Access,Strategy,e-sports,Difficult,Great Soundtrack,Top-Down Shooter,Hack and Slash,RPG,Atmospheric
292030,Open World,RPG,Story Rich,Atmospheric,Mature,Fantasy,Adventure,Choices Matter,Singleplayer,Nudity,Third Person,Great Soundtrack,Action,Medieval,Dark Fantasy,Multiple Endings,Action RPG,Magic,Dark,Sandbox
381210,Horror,Survival Horror,Multiplayer,Co-op,Survival,Stealth,Gore,Atmospheric,Third Person,Action,Blood,Online Co-Op,Team-Based,First-Person,Psychological Horror,Violent,Strategy,Mature,Difficult,Comedy
236850,Grand Strategy,Strategy,Historical,Simulation,Real-Time with Pause,Sandbox,Multiplayer,Military,Singleplayer,Replay Value,Diplomacy,Political,Education,Moddable,RTS,Open World,Great Soundtrack,Medieval,Co-op,4X
489830,Open World,RPG,Adventure,Singleplayer,Fantasy,Character Customization,Dragons,Moddable,Story Rich,Magic,First-Person,Action,Atmospheric,Great Soundtrack,Third Person,Stealth,Remake,Classic,Walking Simulator,Female Protagonist
306130,RPG,Open World,MMORPG,Massively Multiplayer,Multiplayer,Fantasy,Adventure,First-Person,Third Person,Exploration,Action,Story Rich,Magic,Atmospheric,Great Soundtrack,Co-op,Action RPG,Singleplayer,Sandbox,Female Protagonist
236390,Free to Play,World War II,Multiplayer,Simulation,Flight,War,Tanks,Military,Massively Multiplayer,Action,Historical,Realistic,Shooter,Team-Based,Co-op,Strategy,Arcade,FPS,Open World,TrackIR
435150,RPG,Turn-Based,Co-op,Story Rich,Fantasy,Character Customization,Open World,Adventure,Strategy,Turn-Based Combat,Singleplayer,Multiplayer,CRPG,Great Soundtrack,Atmospheric,Turn-Based Tactics,Isometric,Party-Based RPG,Indie,Female Protagonist
394360,Strategy,World War II,Grand Strategy,Historical,War,Military,Alternate History,Multiplayer,Simulation,Real-Time with Pause,Tactical,Singleplayer,RTS,Diplomacy,Sandbox,Co-op,Open World,Great Soundtrack,Action,Casual
251570,Early Access,Survival,Zombies,Open World,Crafting,Multiplayer,Sandbox,Building,Co-op,Action,Adventure,Survival Horror,Horror,Online Co-Op,FPS,RPG,Indie,Singleplayer,Gore
281990,Space,Strategy,Grand Strategy,Sci-fi,4X,Exploration,Real-Time with Pause,Multiplayer,RTS,Singleplayer,Great Soundtrack,Simulation,Replay Value,Sandbox,Moddable,Atmospheric,Open World,Building,Story Rich,Adventure
550,Zombies,Co-op,FPS,Multiplayer,Action,Online Co-Op,Shooter,Survival,First-Person,Horror,Team-Based,Gore,Moddable,Post-apocalyptic,Survival Horror,Singleplayer,Adventure,Local Co-Op,Tactical,Replay Value
594570,Strategy,Fantasy,RTS,Grand Strategy,Turn-Based Strategy,Multiplayer,Action,War,Games Workshop,Turn-Based,Singleplayer,Tactical,Atmospheric,Dinosaurs,Dark Fantasy,Real Time Tactics,Story Rich,Co-op,Great Soundtrack,Warhammer 40K
221380,Strategy,RTS,Multiplayer,Medieval,Classic,Historical,Base-Building,Singleplayer,City Builder,Resource Management,Tactical,Co-op,Competitive,Real-Time,Remake,Replay Value,2D,Action,Isometric,Adventure
363970,Clicker,Free to Play,Casual,Singleplayer,Indie,2D,RPG,Adventure,Funny,Fantasy,Simulation,Multiplayer,Strategy,Family Friendly,Touch-Friendly,Action,Addictive,Management,Illuminati,Co-op
582660,Massively Multiplayer,MMORPG,Open World,RPG,Character Customization,Adventure,Fantasy,Action,Sandbox,PvP,Multiplayer,Nudity,Third Person,Violent,Co-op,Hack and Slash,Fishing,Female Protagonist,Strategy,Simulation
255710,City Builder,Simulation,Building,Strategy,Singleplayer,Management,Moddable,Sandbox,Economy,Resource Management,Realistic,Replay Value,Mod,Casual,Family Friendly,Modern,Real-Time with Pause,Great Soundtrack,Funny,Action
214950,Strategy,Turn-Based Strategy,Historical,Grand Strategy,Rome,Tactical,Multiplayer,War,Turn-Based,Real Time Tactics,RTS,Singleplayer,Online Co-Op,Turn-Based Tactics,Simulation,Co-op,Moddable,Action,Atmospheric,Education
601510,Free to Play,Card Game,Multiplayer,Anime,Strategy,Trading Card Game,Singleplayer,Casual,RPG,Action,Adventure
386360,Free to Play,MOBA,Multiplayer,Action,Third Person,Mythology,Team-Based,Competitive,Strategy,Co-op,PvP,Massively Multiplayer,RPG,e-sports,Adventure,MMORPG,Funny,Survival,Casual,Nudity
294100,Early Access,Base-Building,Survival,Strategy,Sandbox,Building,Management,Simulation,Open World,Singleplayer,Sci-fi,Crafting,2D,Indie,Moddable,Space,Atmospheric,Action,Great Soundtrack
413150,RPG,Simulation,Pixel Graphics,Agriculture,Crafting,Relaxing,Sandbox,Singleplayer,Indie,Building,Multiplayer,Casual,Great Soundtrack,2D,Open World,Cute,Dating Sim,Fishing,Atmospheric,Retro
582160,Open World,Assassin,Action,Parkour,RPG,Stealth,Adventure,Third Person,Historical,Singleplayer,Story Rich,Action RPG,Atmospheric,Exploration,Multiplayer,Great Soundtrack,Sandbox,Illuminati,Walking Simulator,Heist
322330,Survival,Multiplayer,Co-op,Open World,Adventure,Crafting,Sandbox,Indie,Difficult,Online Co-Op,2D,Atmospheric,Strategy,Survival Horror,Funny,Simulation,Action,Singleplayer,Horror,Rogue-like
577800,Sports,Basketball,Gambling,Simulation,Multiplayer,Singleplayer,Realistic,Free to Play,Local Multiplayer
444200,Tanks,Free to Play,Action,Multiplayer,World War II,War,Massively Multiplayer,Strategy,PvP,Shooter,Simulation,Military,Competitive,Online Co-Op,Arcade,FPS,Open World,First-Person,Singleplayer,Psychological Horror
447020,Simulation,Multiplayer,Agriculture,Open World,Realistic,Economy,Driving,Moddable,Singleplayer,Management,First-Person,Co-op,Online Co-Op,Family Friendly,Third Person,Sandbox,Strategy,Great Soundtrack,Action,Female Protagonist
480
550650,Early Access,Free to Play,FPS,Multiplayer,Shooter,Action,Military,First-Person,PvP,Massively Multiplayer,Co-op,Tactical,Singleplayer,War,Team-Based,Violent,Gore,Open World,Strategy
427520,Early Access,Base-Building,Resource Management,Sandbox,Crafting,Strategy,Survival,Multiplayer,Open World,Management,Co-op,Singleplayer,Simulation,Moddable,Trains,Indie,Sci-fi,Aliens,Tower Defense
49520,FPS,Co-op,Action,RPG,Loot,Shooter,Open World,Funny,Multiplayer,Comedy,Adventure,Action RPG,Online Co-Op,Memes,Stylized,Sci-fi,Dark Humor,Futuristic,Singleplayer,Atmospheric
291550,Free to Play,Multiplayer,Fighting,2D,2D Fighter,Action,Local Multiplayer,Platformer,Controller,Co-op,Local Co-Op,Beat 'em up,Online Co-Op,Early Access,4 Player Local,Indie,Singleplayer,Massively Multiplayer,Survival,Adventure
48700,Medieval,RPG,Open World,Strategy,Action,Sandbox,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,First-Person,Historical,Singleplayer,Third Person,Simulation,Hack and Slash,Fantasy,Indie
