231670,Sports Interactive
244450,Digitalmindsoft
312660,Rebellion
363150,"KOEI TECMO GAMES CO., LTD."
282070,11 bit studios
380600,Fishing Planet LLC
200510,Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)
536930,Square Enix
233450,Introversion Software
280790,Playful Corp.
242050,Ubisoft Montreal
9900,Cryptic Studios
316010,Stainless Games Ltd.
389430,Noah System,Mgame
403640,Arkane Studios
524220,Square Enix,PlatinumGames Inc.
469600,AutoAttack Games
506540,Free Reign Entertainment,Free Reign Entertainment
4760,CREATIVE ASSEMBLY
216150,Nexon
387990,Axolot Games
480490,Arkane Studios
447040,Ubisoft
688470,"Chongqing Shangshixuan Technology Co., Ltd.,"
506140,"Cloudcade, Inc."
402840,Codename Entertainment Inc.
261640,2K Australia,Gearbox Software,Aspyr (Mac),Aspyr (Linux)
364470,"Sparkypants Studios, LLC"
663090,"IMCGAMES Co.,Ltd."
266840,SkyBox Labs,Ensemble Studios
203160,Crystal Dynamics,Eidos-Montréal,Feral Interactive (Mac),Feral Interactive (Linux)
291650,Obsidian Entertainment
372000,"IMCGAMES Co.,Ltd."
456610
212680,Subset Games
337000,Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)
415200,Playsport Games
32470,Petroglyph
397900,Creobit
569480,"Lion Shield, LLC"
444640,Ninja Kiwi
473690,Sloclap
433340,Monomi Park
234140,Avalanche Studios,Feral Interactive (Mac),Feral Interactive (Linux)
298110,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev"
201810,Machine Games
290080,Bitbox Ltd.
445220,Boxelware
335240,Atelier 801
8800,Firaxis Games
208650,Rocksteady Studios
329110,Infinity Plus 2
326460,kChamp Games
529180,Snail Games USA
438740,IllFonic
8980,Gearbox Software
521630,Giant Fox Studios
220,Valve
393420,Bankroll Studios
22330,Bethesda Game Studios
20920,CD PROJEKT RED
253710,Expansive Worlds,Avalanche Studios
3910,Firaxis Games
516750,Amistech Games
252530,MR-Software GbR
360430,Hangar 13,Aspyr (Mac)
612020,Berzerk Studio
391540,tobyfox
12120,Rockstar Games
286940
20900,CD PROJEKT RED
342200,Piranha Games Inc.
431240,Blacklight Interactive
466560,Shiro Games
6060,Pandemic Studios
10090,Treyarch
339600,KIXEYE
339610,Joycity
333420,GSC Game World
212500,"Standing Stone Games, LLC"
235540,Fatshark
269210,Elias Viglione,Jussi Kukkonen
531640,Dire Wolf Digital
65930,2K Marin
310950,Capcom
275850,Hello Games
367500,Capcom
448440,Proximity Games
12210,Rockstar North,Rockstar Toronto
226840,Triumph Studios
601430,Tango Gameworks
675010,Saber Interactive
17390,Maxis™
1840,Valve
646570,Mega Crit Games
297000,DotEmu
113400,Little Orbit
612510,"Project ""The Game"""
263280,Oovee® Game Studios
206420,Deep Silver Volition
236870,IO Interactive A/S,Feral Interactive (Linux),Feral Interactive (Mac)
624120,Sports Interactive
220240,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
521890,Dynamic Pixels
438100,VRChat Inc.
299740,Entrada Interactive LLC
65980,Firaxis Games,Aspyr (Mac),Aspyr (Linux)
219640,Torn Banner Studios
588650,Motion Twin
442080,WeMade
55230,Volition
221680,Ubisoft - San Francisco
261430
208580,Obsidian Entertainment,"Aspyr (Mac, Linux, & Windows Update)"
550900
459820,Sad Panda Studios
310560,Codemasters Racing Studio,Feral Interactive (Linux),Feral Interactive (Mac)
434650,Hunter Studio
393430,Iceflake Studios
71270,Sports Interactive
200710,Runic Games
205100,Arkane Studios
349040,CyberConnect2 Co. Ltd.
300,Valve
213670,Obsidian Entertainment
50130,2K Czech,Feral Interactive (Mac)
334230,BlankMediaGames
319630,DONTNOD Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)
245620,Haemimont Games
204880,Ironclad Games,Stardock Entertainment
449540,K Bros Games
451340,Code Horizon
80,Valve
288390
376210,Afterthought LLC
488790,Ubisoft San Francisco
542650,Alekseev
22490
429660,BANDAI NAMCO Studios Inc.
35450,Tripwire Interactive
313160,Giants Software
455940,irritatingFLY studio
447820,New World Interactive
286690,4A Games
607890,AQURIA
251060,Eugen Systems
375450,"KOEI TECMO GAMES CO., LTD."
657200,HFM Games
304030,XLGAMES
311690,Dodge Roll
47410,FireFly Studios
42710,Treyarch
592600,"Konami Digital Entertainment Co., Ltd"
24200,Daybreak Game Company
627270,NetherRealm Studios,QLOC
236110,Trendy Entertainment
438020,Sekerin Productions
1250,Tripwire Interactive
207890,Sports Interactive
365670,Blender Foundation
307780,NetherRealm Studios,QLOC
42680,Infinity Ward,Sledgehammer Games,Aspyr (Mac)
108600,The Indie Stone
454180,Anea_Duo_Dev
454150,Firehawk Studios
564710,AN Productions,Poxpower
361420,System Era Softworks
285190,Relic Entertainment,Feral Interactive (Mac),Feral Interactive (Linux)
10180,Infinity Ward,Aspyr (Mac)
113200,Edmund McMillen and Florian Himsl
287390,4A Games
581690
363890,KADOKAWA,Yoji Ojima
357290,Talentplace
204360,The Behemoth
374040,Keen Games
269950,Laminar Research
217490
465650,Out of the Park Developments
641990,Team17 Digital Ltd,Mouldy Toof Studios
557400,Holyday Studios
537180,"Move Games Co., Ltd."
215080,Ankama Studio
289130,AMPLITUDE Studios
504730
42750
302830,Novalink
8870,Irrational Games,Aspyr (Mac),Virtual Programming (Linux)
204300,Ronimo Games
224260,No More Room in Hell Team
706220
212160,devCAT
558990,Zachtronics
3900,Firaxis Games
589290,Anvil Game Studios
502520,Game-Labs
550470,"Entwell Co., Ltd."
609150,Square Enix,tri-Ace
496460,Mindillusion
32370,BioWare,Aspyr (Mac)
466170,Shugasu GmbH
9450,Relic Entertainment
203290,U.S. Army
306020,Ninja Kiwi
287450,SkyBox Labs,Big Huge Games
42960,Paradox Development Studio
610120,Anate Studio
650500
236690,Cyanide Studios
439350
434170,"Jackbox Games, Inc."
370240,Visual Concepts
427270,Robot Entertainment
2870,Egosoft
446150,"Valkyrie Entertainment, LLC"
234630,Slightly Mad Studios
249130,Traveller's Tales
685310,Coconut Shavers
226860,Stardock Entertainment
236430,"FromSoftware, Inc"
47810,BioWare
200260,Rocksteady Studios,Feral Interactive (Mac)
238090,Rebellion
228280,Beamdog
285920,Payload Studios
210770,Coffee Stain Studios
268420,X-Legend
400,Valve
368070,CI Games
331470,Soviet Games
495910,Neople
312530,Landon Podbielski
238460,The Behemoth
311310,Game-Labs
321040
365960,Studio 397
581600,JDRumble
722060,Illwinter Game Design
365360,Overhype Studios
292730,Infinity Ward
70,Valve
212910
388660,JDRumble
368500,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios"
24960,DICE
389300
225260,Double Fine Productions
211500,Sector3 Studios
40970,FireFly Studios
237310,KOG
33230,Ubisoft Montreal
333950,Keen Software House
541180
289650,Ubisoft
555830,Sachonski,Renato Milanesi,Sith
474960,Remedy Entertainment
391040,Codemasters,Feral Interactive (Mac)
215280,Funcom
33350
666220,Unreal Software
404730
545580,Besedka Games Studio
246620,Ndemic Creations
42700,Treyarch
332310,TT Games,Traveller's Tales
212070,Star Gem Inc.
366220,Code Club AB
282440,id Software
299360,Toadman Interactive,Jagex,Artplant
431560,Evgeny Shcherbakov,Denis Ovsyannikov
22370,Bethesda Game Studios
500,Valve
248390,Dekovir Entertainment
619730
344760,Code}{atch
371660,Ubisoft
203140,Io-Interactive A/S,Feral Interactive (Mac)
562730,Badim
39120,Trion Worlds
571740,Perfuse Entertainment
619330,Alekseev
212200,NEXON Korea Corp.
482750
355840,Vostok Games
554620,Deck Nine,Feral Interactive (Mac),Feral Interactive (Linux)
526290,TrisPix Studio
672680,Bytro Labs GmbH
274190,Free Lives
624140,Sports Interactive
9420,Gas Powered Games
636480,SteelRaven7
268400,Flashback Games,The Lordz Games Studio
110800,Team Bondi,Rockstar Leeds
412290,mesetts
221040,Capcom
48720,TaleWorlds Entertainment
414070,Evgeny Shcherbakov,Matvey Sakharovskiy
232890,FireFly Studios
39140,Square Enix
11020,Nadeo
388080,AndrewMD5,Codeusa
22320,Bethesda Game Studios
647830,TT Games,Feral Interactive (Mac)
421020,Codemasters,Feral Interactive (Mac),Feral Interactive (Linux)
3590,"PopCap Games, Inc."
460920,Ubisoft Annecy,Ubisoft Montpellier,Ubisoft Kiev
678800,Ninja Kiwi
463530,Slug Disco Studios
359870,Square Enix
420360,3D Avenue
209000,WB Games Montreal,Splash Damage
578310,Desertkun
223830,Goldhawk Interactive
322110,Batterystaple Games,Fire Hose Games
345350,Square Enix
323580,Thunder Lotus Games
280,Valve
326410,Tasharen Entertainment Inc.
17440,Maxis™
253900,Topware Interactive
533340,Trauma
271360,"Fancy Bytes, Reactor"
551670,NedoStudio
592490
721030,Actoz Soft
311340,Kojima Productions
449140,treeform
15210,Ubisoft
514900,Bloober Team SA
271290
319510,Scott Cawthon
233250
681840
552620,AtomTeam
1900,Reality Pump Studios
286000,Pocketwatch Games
466860,Pixel Gangsta Studio
420440,Killerfish Games
389280
650760,Heluo Studio
491260,Charyb Games
513570,GDNomad
235900,KADOKAWA
293760,Camshaft Software
238430,"Monochrome, Inc"
567780,Nuno Donato
402220,89AM Studio
354920,Flump Studios
397350,Impressions Games
41500,Runic Games
463680
566050,Impressions Games
375530,Creoteam
473470,Eduard Mirica
611790,"Eek! Games, LLC"
333640,Freehold Games
231350,UL
313010,Focus Home Interactive
268870,5 Lives Studios
288160,Fireproof Games
282560,Nvizzio Creations
467520,Eversim
394870,Black Lime Studio
348250,Google
554510,HB Studios
292140,Square Enix
466300,Beamdog
478980,Fantasy Flight Games
233980,@unepic_fran
20540,Relic Entertainment
322460
314970,Noble Master LLC
465710,Camex Games
561610,Milestone S.r.l.
458960,"WEBZENONNET Co., Ltd."
390100,JoongWon Games
261470,Code Force
369140
280160,Lince Works
7830,Best Way
215530,NeocoreGames
319910,Frozenbyte
448070,Microblast Games
533180,Abstractive Works
113020,Pocketwatch Games
641780,The Drone Racing League
290790,Petroglyph
442780,Pixel Titans
8850,2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)
24670,N3V Games
21100,Day 1 Studios
575550,Athena Works
599460,Digdog Studio
391720,Bloober Team SA
301910,Deep Silver Volition,High Voltage Software
645260,Overgroup
740260,Hollowings
567250,Void games
382080,Devdan Games
240320,Panzar Studio
407000,Fixer Games
370540,2by3 Games
233800,Bohemia Interactive
364420,SmashGames
359310,Shiro Games
50650,Vigil Games
214340,Daedalic Entertainment
448470,Sometimes You
298900,Streum On Studio
455980,Suncrash
232050,Snowbird Games
13520,Crytek Studios
261180,Team Reptile
251290,Nihon Falcom
15120,Ubisoft Montreal
420530,Little Cat Feet
203630,Ino-Co Plus
295550,Katauri
317600,Archaic Entertainment
268750,SmashGames
487270,André Bertaglia
213850,Stainless Games
335670,Dingaling
9010,Gray Matter Studios
576130,Lapovich Team
265210,RuneStorm
263060,GhostShark
